Taxa,P01,P02,P03,P04,P05,P06,P07,P08,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_unclassified,4.12E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia|s__Scardovia_wiggsiae,0.0009761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004812,0,0,0,0,0,0,0,0,0,8.63E-05,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.001414,0.0002766,0.0004009,0.0015794,0.003743,0,0,0.0008366,0.0001532,0.0091324,0,0,0.0016634,0,0.0002883,5.10E-05,3.69E-05,0.000208,0,0.000334,0.0017279,0,0.0006248,0.0001919,0.0026307,0,0.0004567,0.000328,0.0107241,0.0005532,0.0006108,0,0.0001331,0.001107,0.0002043,0,0.0003336,0.0004761,0.0002188
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum,0.0005347,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98E-05,0,0,0,0.0001418,0,0,0,0,0,0,4.80E-06,0,0,0,0,0,0,0,0,1.26E-05,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_rimae,1.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_sp_ICM58,0.0008559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.004996,0.001502,0,8.32E-05,0,0,0,0.0013943,0.0004572,0,0,0,0.0024088,0,0.0201791,0.0051501,0.0008157,0.0015221,0.1169077,0.0084113,0,0.030162,0,0.0061658,0.0055055,0,0.0078899,0.0060394,8.40E-05,0,0.0190071,0,0.0021595,0.0069488,0.0068572,0,0.0013684,0.0249739,0.0097889
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis,0.000138,0,0,0.0184841,0,0,0,0,0,0,0,0,0,0,0.0010921,0,0,0,0,0,0,0,0.0001967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_tanakaei,0.0076412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_unclassified,0,0,0.0096314,0.0011136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Cryptobacterium|s__Cryptobacterium_curtum,4.20E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.0001953,0,0.0004423,0.0002397,0.000357,0,0,0,1.60E-06,0.0002012,0,3.32E-05,0.0001005,2.09E-05,4.41E-05,5.18E-05,9.40E-06,0,0.0003093,2.62E-05,0.0002353,6.16E-05,0,0.0003751,0.0002082,0.0002114,0,0,8.20E-05,0,0.001488,0.0003307,1.39E-05,0.0001322,1.60E-05,5.22E-05,0,0,4.82E-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_sp_1_3_56FAA,0.0017866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032225,0,0.0005182,0.0008398,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.001118,0,0.001358,0.000847,0.0053095,0,0,3.45E-05,0.0003508,0.0157745,0,0.0007336,0.0010137,0.0014406,0.0014997,0,7.06E-05,3.25E-05,0.0045005,0.0010559,0.0003627,0.0011678,1.88E-05,0.0026629,0.0015802,0.0031555,0,6.73E-05,0.0007084,7.86E-05,0.0090834,0.0031177,0.0002282,0.0010493,0.000356,0.0012044,0.0004432,0.0004319,8.41E-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,8.36E-05,0,0.0001916,4.11E-05,2.02E-05,0.0007272,0,0,4.11E-05,5.46E-05,0,3.28E-05,0.0001376,0,0.0003505,4.86E-05,0,0.0001102,0.000483,0.0005912,0,5.29E-05,3.70E-05,0.0003094,0.0001739,0.0001098,0,0,8.75E-05,0,0.0008862,0,2.12E-05,2.28E-05,0.0003195,0,0,8.05E-05,1.06E-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli,0,0,0,0,0,0,0,0,0,4.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,0,0,0,0,0,0,0,0,0,1.70E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_unclassified,4.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0.0408953,0,0.0104884,0.0779238,0,0.0375615,0.0732838,0,0.0087339,0,0,1.77E-05,0,0.0619578,0,0.0539849,0.0433277,0,0.0393562,0,0,0,0,0,0,0,0.0088371,0.0232405,0,0.0030342,0.0722303,0.0601845,0.0035111,3.00E-06,0.0923989,1.50E-05,0,0.040006,0.0511727
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0,0.0174319,0.0111509,0.0037393,0,0.0864871,0,0.0879084,0.0172353,0.0391088,0,4.10E-06,0.0748242,1.60E-06,0.0324742,1.00E-06,0,0.0013083,0,0.0412935,0.0122921,0.1187656,0.0107419,0.0001341,0,0,0.0020998,0.0206169,0.0938551,0.0619053,0.0421958,0,0.009749,0,0,0,0.2271928,0.0083445,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103393,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,1.90E-05,0.0057134,0.1420026,3.04E-05,0.1382623,0.073614,4.40E-06,3.04E-05,0.3475772,0.0001019,0.4805644,7.00E-05,0.0641291,0.0123503,1.74E-05,4.26E-05,0.0751903,0.0220105,0.009624,0.0177651,1.40E-05,3.47E-05,2.51E-05,4.79E-05,3.70E-06,2.21E-05,0.0013501,0.0629997,0.0471575,0.0029872,1.21E-05,2.14E-05,0.0007173,0.0869647,0.0322487,0.0747282,0.001357,0.043107,3.89E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,0,0,0.0370412,0.1372688,0,8.00E-06,0,2.90E-06,6.50E-06,0,0,0,0,2.40E-06,0,2.70E-06,8.50E-06,0,5.60E-06,0,0,0,0.0498878,0,0,0,0.005514,0.0040029,0,5.60E-06,0,0,0.2524162,0,0,1.88E-05,0,0,1.29E-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.0010134,0.0001057,0,0.0003304,0,8.00E-07,0,0,0,0,0,0,0,0,0,0,0.0110591,0,0.0363315,0,0,0,1.72E-05,0,0,0,5.50E-06,8.00E-06,0.0049309,0.0010074,0.0325845,0,0.0143538,0,0.0210334,0.0618291,0.0219239,2.40E-05,0.0017441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,0,0,0,0,0,0,0,0.0611879,0,0.0002134,0,0,0,0,0,0,0.0020055,0,0,0,0,0,0,0,0,0,0,0,0,0.0213775,0,0,0.0051452,0,0,0,0,0,6.10E-06
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.007468,0.0098974,0,0,0,1.30E-06,0,0,0.0013871,0.001449,0,0,0.0081089,0,0,0.0014047,0,0,0,0.0072713,0,0.0281212,0.0028125,0,0,0.0422199,0.0001454,0.0001118,0.0460943,0,0.0066761,0,1.75E-05,0.0152196,2.10E-06,0,0,0.0043662,0.2208276
